table,col,model,panel,row,coef,se,p,N
oaxaca,1,Oaxaca: pooled price,footer,Observations,,,,12533
oaxaca,2,Oaxaca: WM price,footer,Observations,,,,12533
oaxaca,1,Oaxaca: pooled price,overall,Group gap,.0310256147412574,.044308424,.48379034,
oaxaca,2,Oaxaca: WM price,overall,Group gap,.0310256147412574,.044308424,.48379034,
oaxaca,1,Oaxaca: pooled price,overall,Total composition effect,.0439491743429662,.013834764,.001489507,
oaxaca,2,Oaxaca: WM price,overall,Total composition effect,.0404651804593256,.0145997,.0055773882,
oaxaca,1,Oaxaca: pooled price,overall,Total structural effect,-.0129235596017088,.045321669,.77552778,
oaxaca,2,Oaxaca: WM price,overall,Total structural effect,-.0094395657180682,.046271164,.83834928,
oaxaca,1,Oaxaca: pooled price,unexplained_constant,Constant,.4036182949547199,.32518077,.21452743,
oaxaca,2,Oaxaca: WM price,unexplained_constant,Constant,.4036182949547199,.32518077,.21452743,
oaxaca,1,Oaxaca: pooled price,unexplained_demographics,Age 16-29,-.0101776089555731,.065519087,.87655479,
oaxaca,2,Oaxaca: WM price,unexplained_demographics,Age 16-29,-.0105547328981221,.066782504,.87442023,
oaxaca,1,Oaxaca: pooled price,unexplained_demographics,Age 30-49,-.0428648799771528,.10300891,.67731643,
oaxaca,2,Oaxaca: WM price,unexplained_demographics,Age 30-49,-.0445935524570342,.10482213,.67052966,
oaxaca,1,Oaxaca: pooled price,unexplained_demographics,Age 50-69,-.0138416954603982,.058357298,.81251037,
oaxaca,2,Oaxaca: WM price,unexplained_demographics,Age 50-69,-.0128786825280285,.057229269,.82195079,
oaxaca,1,Oaxaca: pooled price,unexplained_demographics,Female,-.027433324726457,.042673636,.52031261,
oaxaca,2,Oaxaca: WM price,unexplained_demographics,Female,-.0274990227852515,.04274122,.51997489,
oaxaca,1,Oaxaca: pooled price,unexplained_employment,Employment reduction,.020743466128819,.028923543,.47326133,
oaxaca,2,Oaxaca: WM price,unexplained_employment,Employment reduction,.0207673858894933,.028962463,.47334638,
oaxaca,1,Oaxaca: pooled price,unexplained_employment,Job loss,.0070831858714342,.010503314,.50007212,
oaxaca,2,Oaxaca: WM price,unexplained_employment,Job loss,.0079511370977933,.011869711,.50294209,
oaxaca,1,Oaxaca: pooled price,unexplained_employment,Key worker,.0050945627128624,.019673361,.79566813,
oaxaca,2,Oaxaca: WM price,unexplained_employment,Key worker,.0050969229956544,.019706689,.79591364,
oaxaca,1,Oaxaca: pooled price,unexplained_employment,Self-employed,-.0067598303367104,.010086746,.50274968,
